text,clean_text,sentiment_label
Gabung ke Komunitas Akademi Crypto: https://discord.com/invite/akademicrypto,gabung ke komunitas akademi crypto,Neutral
Lagi nyelem ya bang😅,lagi nyelem ya bang,Negative
rewatch ygy 😹😹,rewatch ygy,Negative
"2 vidio tentang saham daging semua,",2 vidio tentang saham daging semua,Neutral
saham itu titik kumpul orang yang rugi dan untung. dalam islam kita tidak boleh berbisnis untung dengan cara merugikan orang lain. bisnis dalam islam adalah bisnis yang saling menguntungkan antara pembeli dan penjual.😊,saham itu titik kumpul orang yang rugi dan untung dalam islam kita tidak boleh berbisnis untung dengan cara merugikan orang lain bisnis dalam islam adalah bisnis yang saling menguntungkan antara pembeli dan penjual,Negative
trakhir,trakhir,Negative
remote nya di indonesia 😂 🎉,remote nya di indonesia,Neutral
Bismillah kaya raya dengan semangat juang seperti bro timothy,bismillah kaya raya dengan semangat juang seperti bro timothy,Positive
mantap bro tim omongannya bener dikondisi market sekarang ini haha. gg sih vid 2 thn lalu pdhl,mantap bro tim omongannya bener dikondisi market sekarang ini haha gg sih vid 2 thn lalu pdhl,Negative
"Video ini sangat bagus, memberikan pelajaran. Terima kasih sharingnya 🙏",video ini sangat bagus memberikan pelajaran terima kasih sharingnya,Positive
KLO saham Microsoft Apple meta ada bandarnya ngga 😅😅.  Saham bagi dividen sehat. Saham ngga bagi dividen ini yg gw ngga habis pikir😅cocoknya digoreng bandar aja,klo saham microsoft apple meta ada bandarnya ngga saham bagi dividen sehat saham ngga bagi dividen ini yg gw ngga habis pikircocoknya digoreng bandar aja,Neutral
"Owner calling oo si ini sell hari ini, big manny bandar auto long shot agar profit abistu sawerr karyawan, yang jual rumah auto kena drop redcard mental psikologi kena dimainin owner 😮‍💨",owner calling oo si ini sell hari ini big manny bandar auto long shot agar profit abistu sawerr karyawan yang jual rumah auto kena drop redcard mental psikologi kena dimainin owner,Negative
"Emang bener yang di bilang bro timoty ini bandar emiten saham ya ownernya itu sendiri,saya korban cl beli saham yang udah naik 1000% lebih, dan sekarang ketika di puncak ownernya jualan...",emang bener yang di bilang bro timoty ini bandar emiten saham ya ownernya itu sendiri saya korban cl beli saham yang udah naik 10 lebih dan sekarang ketika di puncak ownernya jualan,Negative
"Saham treding dagang sama kaya judi,ada kalah ada menang,bedanya judi lebih praktis dan lebih cepat ...makanya di haramkan ,karna bikin org pd ga mau cari duit dg kerja keras,jadinya ga ada yg mau di suruh2 sama org lain",saham treding dagang sama kaya judi ada kalah ada menang bedanya judi lebih praktis dan lebih cepat makanya di haramkan karna bikin org pd ga mau cari duit dg kerja keras jadinya ga ada yg mau di suruh2 sama org lain,Negative
Alhamdulillah bertambah ilmunya 🤲🤲,alhamdulillah bertambah ilmunya,Positive
Yang lihat bulan Oktober 🗿🗿,yang lihat bulan oktober,Neutral
RDN BCA 70m bisa raib gimana caranya ya bro....,rdn bca 70m bisa raib gimana caranya ya bro,Neutral
Nyimak Boss.. Nonton Tanggal 20 September 2025 (Umur 41 Tahun 😢),nyimak boss nonton tanggal 20 september 2025 umur 41 tahun,Neutral
Kenapa yah gua baru liat Vidio Koko di tahun 4 September 2025,kenapa yah gua baru liat vidio koko di tahun 4 september 2025,Negative
Angka judi gmna?,angka judi gmna,Negative
"Makanya ada PINJOL ya kan 😱 ternyata itu untuk beli KTP org aja dan dipakai buat main Crypto atau Saham... OMG, pantas Presiden Prabowo bilang Negara ini mau dijual entah ke China atau USA?",makanya ada pinjol ya kan ternyata itu untuk beli ktp org aja dan dipakai buat main crypto atau saham omg pantas presiden prabowo bilang negara ini mau dijual entah ke china atau usa,Negative
"Benang merahnya, ketika trading tetap jaga porto kalian warna ijo... gimana caranya? Meski TP kecil wajin tetap ijo, TP besar apalagi... itu aja dijaga",benang merahnya ketika trading tetap jaga porto kalian warna ijo gimana caranya meski tp kecil wajin tetap ijo tp besar apalagi itu aja dijaga,Positive
Yang lihat ini bulan Agustus 2025 🎉,yang lihat ini bulan agustus 2025,Neutral
Absen 31 juli 2025,absen 31 juli 2025,Neutral
11:39 ngakak pas bagian ini. 🤣,11 39 ngakak pas bagian ini,Neutral
"Apa ini, siapa beliau, kenapa begitu sopan …",apa ini siapa beliau kenapa begitu sopan,Negative
ketika bang timothy benar-benar memberikan ceramah serius full daging,ketika bang timothy benar benar memberikan ceramah serius full daging,Negative
lanjut marathon video ke 3,lanjut marathon video ke 3,Positive
Thank you anak muda...👍👍👍,thank you anak muda,Positive
tetep pada akhirnya fundamental yg bicara,tetep pada akhirnya fundamental yg bicara,Neutral
Terimakasih koh,terimakasih koh,Neutral
"Investasi saham banyak dipengaruhi emosi investor masalahnya. Beli saham juga beli harapan. Jadi ya, 2 hal itu yang paling di mainin market maker.",investasi saham banyak dipengaruhi emosi investor masalahnya beli saham juga beli harapan jadi ya 2 hal itu yang paling di mainin market maker,Neutral
juli 2025 masih mantengin,juli 2025 masih mantengin,Negative
Motivasi,motivasi,Positive
9:07 Saham adalah zero sum game 😢😢😢,9 07 saham adalah zero sum game,Neutral
"Biar ga ketahuan bandar, belinya sedikit tapi pake banyak Rdn",biar ga ketahuan bandar belinya sedikit tapi pake banyak rdn,Neutral
3. 27/6/25,3 27 6 25,Neutral
Bang apakah saham bumi akan naik di 2026?,bang apakah saham bumi akan naik di 2026,Neutral
"oke, sekarang buat untuk sisi gelap dunia crypto",oke sekarang buat untuk sisi gelap dunia crypto,Negative
"jadi paham, makasi bang",jadi paham makasi bang,Positive
Hadir bang 🙏,hadir bang,Positive
"Ngefans banget gw sama pola pikir luh bang,,,,,,  Anjir cerdas bgt",ngefans banget gw sama pola pikir luh bang anjir cerdas bgt,Positive
br kali ini dgr info yg bener,br kali ini dgr info yg bener,Neutral
siapa cowo softspoken ini,siapa cowo softspoken ini,Negative
Bapakukau,bapakukau,Positive
Sama sperti Crypto. This is the game. Smart people and hoki is the winner.,sama sperti crypto this is the game smart people and hoki is the winner,Positive
Yg nonton june 2025.ngacung😅,yg nonton june 2025 ngacung,Negative
hadirr,hadirr,Positive
Hadir,hadir,Negative
Hadir repet watch again hahahahhaa,hadir repet watch again hahahahhaa,Negative
naga 👍🙂,naga,Positive
Kayak nya ilmu nya ngak bisa langsung di serap... Haruss di pahami dulu Mulai pusing,kayak nya ilmu nya ngak bisa langsung di serap haruss di pahami dulu mulai pusing,Negative
Pengen denger di panggung negara,pengen denger di panggung negara,Neutral
Bang tolong dong pasti ada lagu timoty Ronald please dong,bang tolong dong pasti ada lagu timoty ronald please dong,Neutral
Saya percaya baget sama kamu bang,saya percaya baget sama kamu bang,Positive
Kali ada info...saham mercy harga bajai..koko?,kali ada info saham mercy harga bajai koko,Neutral
Terimakasih edukasi nya pak,terimakasih edukasi nya pak,Positive
"Masa allah kelahiran 2000 secerdas ini th 2015 masi main game coc suhu timoty sudah trading,,,, saya kelahiran 1993 angkat topi buat km bos,,,,",masa allah kelahiran 20 secerdas ini th 2015 masi main game coc suhu timoty sudah trading saya kelahiran 1993 angkat topi buat km bos,Neutral
Gua abdul bang dari masa depan yg bakal naikin harga klas lu wkwk😅😅😅,gua abdul bang dari masa depan yg bakal naikin harga klas lu wkwk,Neutral
KEBENARAN AKAN MENANG YANG MENJAWAB ADALAH WAKTU,kebenaran akan menang yang menjawab adalah waktu,Neutral
Gak pengaruh di saham bigbanks dan Lq45,gak pengaruh di saham bigbanks dan lq45,Neutral
"Brotim, saya mau tanya pendapat brotim tentang cara kerja uang saya. Saya inves di tempat A sebanyak 800jt, tiap bulan saya dapat uang 20jt keuntungan dr tempat A itu, konsisten setiap bulan. Dan kalau suatu hari nanti saya tarik uang saya 800jt itu, boleh dan bisa. Bagaimana menurut brotim?",brotim saya mau tanya pendapat brotim tentang cara kerja uang saya saya inves di tempat a sebanyak 800jt tiap bulan saya dapat uang 20jt keuntungan dr tempat a itu konsisten setiap bulan dan kalau suatu hari nanti saya tarik uang saya 800jt itu boleh dan bisa bagaimana menurut brotim,Neutral
Apakah bro timothy ini orang yang berasal dari masa depan dan kembali ke masa lalu ??.,apakah bro timothy ini orang yang berasal dari masa depan dan kembali ke masa lalu,Negative
sisi gelap crypto ga lu sebut?,sisi gelap crypto ga lu sebut,Negative
Ada di video yg bahas FTX,ada di video yg bahas ftx,Neutral
Itulah sebabnya trader seperti pak vier selalu pakai trik 9 rdn bahkan lebih,itulah sebabnya trader seperti pak vier selalu pakai trik 9 rdn bahkan lebih,Positive
Bagus gw malah seneng tambah dikit yang beli saham tambah murah harganya tambah gacor dividennya tambah untung jadinya,bagus gw malah seneng tambah dikit yang beli saham tambah murah harganya tambah gacor dividennya tambah untung jadinya,Positive
terima kasih,terima kasih,Positive
"Bang cara daftar di tokcrypo ,kalo ngak ada rekening bank gimana solusinya?🙏",bang cara daftar di tokcrypo kalo ngak ada rekening bank gimana solusinya,Neutral
Nonton 2025,nonton 2025,Negative
Baik loh nih orang mau ngejelasin tapi kok banyak yg benci ya. Tapi emg org yg gw kenal dan Benci Timothy rata² goblok sih 😅,baik loh nih orang mau ngejelasin tapi kok banyak yg benci ya tapi emg org yg gw kenal dan benci timothy rata goblok sih,Negative
"Yang mereka benci bukan ilmu nya, tapi banyak penyampaian dia yang merasa dia pokok nya udah paling bener dan yang lainnya yang gak sama atau ikutin dia itu tolol.",yang mereka benci bukan ilmu nya tapi banyak penyampaian dia yang merasa dia pokok nya udah paling bener dan yang lainnya yang gak sama atau ikutin dia itu tolol,Negative
"fans berat saham, mulai hilang kepercayaan terhadap saham indo,,,, mulai belajar trading crypto",fans berat saham mulai hilang kepercayaan terhadap saham indo mulai belajar trading crypto,Neutral
Matursuwun bang atas ilmunya ❤❤❤,matursuwun bang atas ilmunya,Positive
Vidio 3 yg gua liat,vidio 3 yg gua liat,Neutral
Kerjaan wb indonesia,kerjaan wb indonesia,Positive
"Hai, gw dari masa depan.",hai gw dari masa depan,Neutral
Bismillah next,bismillah next,Positive
"Alhamdulillah saya sudah menguasai indikator obyektif pivot camarilla, fibonacci, wodie demark dan tradisional... semua obyektif dan akurat dan sip Joss simetris dengan fundamental ataupun news di market yang sedang booming atau euforia di pasar....🙏💪🦁",alhamdulillah saya sudah menguasai indikator obyektif pivot camarilla fibonacci wodie demark dan tradisional semua obyektif dan akurat dan sip joss simetris dengan fundamental ataupun news di market yang sedang booming atau euforia di pasar,Positive
"Dengar bro timhothy  cerita gini  Jiwa jiwa ku bergetar  Seakan,ditarik ke dalam cerita",dengar bro timhothy cerita gini jiwa jiwa ku bergetar seakan ditarik ke dalam cerita,Neutral
"Solusinya gmna ? Saya baru masuk ke dunia saham baru mulai nonton video sudah 1 bulanan full, dan akhir gini bingung ni gak ada pemasukan sama sekali tolong saya 😢",solusinya gmna saya baru masuk ke dunia saham baru mulai nonton video sudah 1 bulanan full dan akhir gini bingung ni gak ada pemasukan sama sekali tolong saya,Negative
Kerja,kerja,Positive
"kalo uang belum 100jt, kerja dulu. susah kaya kalau modal kecil",kalo uang belum 100jt kerja dulu susah kaya kalau modal kecil,Negative
gua penonton terakhir?,gua penonton terakhir,Neutral
Jauh ilmu abang nih,jauh ilmu abang nih,Negative
