id,parent_id,author,text,like_count,reply_count,published_at,type
UgzlTjW1J1DT3BVkA2t4AaABAg,,@TimothyRonald,Gabung ke Komunitas Akademi Crypto: https://discord.com/invite/akademicrypto,28,4,2025-04-22T14:25:31Z,comment
UgzlTjW1J1DT3BVkA2t4AaABAg.AHDd_USb7kAAHIskwGvj-9,UgzlTjW1J1DT3BVkA2t4AaABAg,@IkhsanNurmucharom,Lah😅,1,0,2025-04-24T15:14:21Z,reply
UgzlTjW1J1DT3BVkA2t4AaABAg.AHDd_USb7kAAHIst5LjVgx,UgzlTjW1J1DT3BVkA2t4AaABAg,@IkhsanNurmucharom,Lagi nyelem ya bang😅,0,0,2025-04-24T15:15:28Z,reply
UgzlTjW1J1DT3BVkA2t4AaABAg.AHDd_USb7kAAIgUx5XISSZ,UgzlTjW1J1DT3BVkA2t4AaABAg,@yona_lawrence,rewatch ygy 😹😹,0,0,2025-05-29T01:09:58Z,reply
UgzlTjW1J1DT3BVkA2t4AaABAg.AHDd_USb7kAAIiCQnpZfy0,UgzlTjW1J1DT3BVkA2t4AaABAg,@astpclub,🔥,0,0,2025-05-29T17:06:37Z,reply
UgzoWMpYLgJqfLlrsc94AaABAg,,@bim_kun3283,"2 vidio tentang saham daging semua,",0,0,2025-12-03T03:28:50Z,comment
UgzzjFIBs_0l6AC6-TZ4AaABAg,,@sakinah_centil,saham itu titik kumpul orang yang rugi dan untung. dalam islam kita tidak boleh berbisnis untung dengan cara merugikan orang lain. bisnis dalam islam adalah bisnis yang saling menguntungkan antara pembeli dan penjual.😊,0,0,2025-12-02T00:01:31Z,comment
UgyF18w-_IOPsui2SEd4AaABAg,,@bahruddin02,trakhir,0,0,2025-11-29T17:50:02Z,comment
UgzY-WLYtYT8GovtgYJ4AaABAg,,@riandimustaqim9861,remote nya di indonesia 😂 🎉,0,0,2025-11-19T09:59:35Z,comment
Ugy1_ZnZLwiMqkisQgh4AaABAg,,@hewan_nusantara,Bismillah kaya raya dengan semangat juang seperti bro timothy,0,0,2025-11-12T01:48:09Z,comment
UgzN4O7scIIx5zNKQbJ4AaABAg,,@SuperFinn018,mantap bro tim omongannya bener dikondisi market sekarang ini haha. gg sih vid 2 thn lalu pdhl,1,0,2025-11-08T07:33:31Z,comment
UgxL_dDK7m5K4MuG-Gp4AaABAg,,@silaskurnia6425,"Video ini sangat bagus, memberikan pelajaran. Terima kasih sharingnya 🙏",0,0,2025-11-06T03:19:05Z,comment
Ugw-wBg8IRj00jkiOh54AaABAg,,@pamalasbalax,KLO saham Microsoft Apple meta ada bandarnya ngga 😅😅.  Saham bagi dividen sehat. Saham ngga bagi dividen ini yg gw ngga habis pikir😅cocoknya digoreng bandar aja,0,0,2025-10-27T23:00:44Z,comment
