author,text,like_count,reply_count,published_at
@TimothyRonald,Gabung ke Komunitas Akademi Crypto: https://discord.com/invite/akademicrypto,28,4,2025-04-22T14:25:31Z
@bim_kun3283,"2 vidio tentang saham daging semua,",0,0,2025-12-03T03:28:50Z
@sakinah_centil,"saham itu titik kumpul orang yang rugi dan untung.
dalam islam kita tidak boleh berbisnis untung dengan cara merugikan orang lain.
bisnis dalam islam adalah bisnis yang saling menguntungkan antara pembeli dan penjual.😊",0,0,2025-12-02T00:01:31Z
@bahruddin02,trakhir,0,0,2025-11-29T17:50:02Z
@riandimustaqim9861,remote nya di indonesia 😂 🎉,0,0,2025-11-19T09:59:35Z
@hewan_nusantara,Bismillah kaya raya dengan semangat juang seperti bro timothy,0,0,2025-11-12T01:48:09Z
@SuperFinn018,mantap bro tim omongannya bener dikondisi market sekarang ini haha. gg sih vid 2 thn lalu pdhl,1,0,2025-11-08T07:33:31Z
@silaskurnia6425,"Video ini sangat bagus, memberikan pelajaran. Terima kasih sharingnya 🙏",0,0,2025-11-06T03:19:05Z
@pamalasbalax,"KLO saham Microsoft Apple meta ada bandarnya ngga 😅😅.

Saham bagi dividen sehat.
Saham ngga bagi dividen ini yg gw ngga habis pikir😅cocoknya digoreng bandar aja",0,0,2025-10-27T23:00:44Z
@zee992,"Owner calling oo si ini sell hari ini, big manny bandar auto long shot agar profit abistu sawerr karyawan, yang jual rumah auto kena drop redcard mental psikologi kena dimainin owner 😮‍💨",0,0,2025-10-24T21:55:08Z
@ahmadhn6096,❤❤❤❤😂,0,0,2025-10-16T10:35:22Z
@masbay6515,"Emang bener yang di bilang bro timoty ini bandar emiten saham ya ownernya itu sendiri,saya korban cl beli saham yang udah naik 1000% lebih, dan sekarang ketika di puncak ownernya jualan...",0,0,2025-10-11T01:51:24Z
@justfun6750,"Saham treding dagang sama kaya judi,ada kalah ada menang,bedanya judi lebih praktis dan lebih cepat ...makanya di haramkan ,karna bikin org pd ga mau cari duit dg kerja keras,jadinya ga ada yg mau di suruh2 sama org lain",0,0,2025-10-06T01:53:37Z
@ojolgaming0907,Alhamdulillah bertambah ilmunya 🤲🤲,0,0,2025-10-02T16:19:07Z
@IpangAirlangga,Yang lihat bulan Oktober 🗿🗿,0,0,2025-09-30T13:18:50Z
@budijayadibudi5432,RDN BCA 70m bisa raib gimana caranya ya bro....,0,0,2025-09-29T22:16:21Z
@adhymariyadi2835,Nyimak Boss.. Nonton Tanggal 20 September 2025 (Umur 41 Tahun 😢),0,0,2025-09-20T05:22:53Z
@dhotdesign-h2h,Kenapa yah gua baru liat Vidio Koko di tahun 4 September 2025,0,0,2025-09-05T12:49:12Z
@Sampoerna-x1d,Angka judi gmna?,0,0,2025-09-02T13:40:11Z
@youmakemehard3723,"Makanya ada PINJOL ya kan 😱 ternyata itu untuk beli KTP org aja dan dipakai buat main Crypto atau Saham... OMG, pantas Presiden Prabowo bilang Negara ini mau dijual entah ke China atau USA?",1,0,2025-08-26T01:54:49Z
@juandaakbar2196,"Benang merahnya, ketika trading tetap jaga porto kalian warna ijo... gimana caranya? Meski TP kecil wajin tetap ijo, TP besar apalagi... itu aja dijaga",0,0,2025-08-13T17:18:00Z
@12345wisnu,Yang lihat ini bulan Agustus 2025 🎉,3,0,2025-08-05T11:04:23Z
@muhammadsaleh7808,Absen 31 juli 2025,0,0,2025-07-31T06:42:56Z
@TalKryptic,11:39 ngakak pas bagian ini. 🤣,0,0,2025-07-30T05:14:06Z
@Harlyin_adiccitv,"Apa ini, siapa beliau, kenapa begitu sopan …",0,0,2025-07-28T12:58:48Z
@muhammadabdillah8839,bg,0,0,2025-07-26T21:06:17Z
@arianannur,ketika bang timothy benar-benar memberikan ceramah serius full daging,0,0,2025-07-26T09:17:47Z
@shmgaming6740,lanjut marathon video ke 3,0,0,2025-07-25T12:46:44Z
@agusprananto525,Thank you anak muda...👍👍👍,0,0,2025-07-24T16:04:21Z
@andi_np,tetep pada akhirnya fundamental yg bicara,0,0,2025-07-23T03:47:56Z
@navissyaban8637,Terimakasih koh,0,0,2025-07-22T04:06:43Z
